IR	Green	Red	Blue	ACCx	ACCy	ACCz	HR_bpm	HRV
11985	61827	19459	37587	0	0	0		
11970	61842	19466	37592	0	0	0		
12009	61815	19451	37615	0	0	0		
11970	61849	19464	37599	0	0	0		
11992	61846	19459	37620	0	0	0		
12004	61859	19461	37604	0	0	0		
12034	61866	19471	37609	0	0	0		
12014	61881	19481	37630	0	0	0		
12030	61876	19471	37622	0	0	0		
12029	61891	19487	37619	0	0	0		
12042	61911	19495	37615	0	0	0		
12065	61912	19501	37618	0	0	0		
12053	61907	19488	37618	0	0	0		
12042	61921	19494	37635	0	0	0		
12052	61920	19460	37630	0	0	0		
12056	61935	19482	37631	0	0	0		
12087	61950	19500	37633	0	0	0		
12076	61967	19503	37658	0	0	0		
12060	61954	19480	37647	0	0	0		
14165	62579	20168	37918	0	0	0		
14183	62576	20159	37897	3532	8808	-14492		
14170	62575	20171	37912	3532	8808	-14492		
14151	62571	20190	37908	3428	8856	-14452		
14124	62569	20151	37895	3428	8856	-14452		
14122	62580	20146	37898	3444	8828	-14544		
14105	62562	20140	37894	3444	8828	-14544		
14104	62564	20130	37883	3580	8772	-14412		
14119	62570	20132	37889	3580	8772	-14412		
14111	62571	20130	37906	3472	8836	-14472		
14119	62563	20136	37899	3472	8836	-14472		
14117	62585	20147	37912	3420	8748	-14448		
14104	62566	20141	37900	3420	8748	-14448		
14113	62585	20130	37902	3376	8832	-14524		
14113	62571	20136	37916	3376	8832	-14524		
14101	62586	20136	37911	3492	8852	-14348		
14095	62590	20134	37909	3492	8852	-14348		
14107	62580	20134	37919	3380	8812	-14424		
14131	62596	20138	37922	3380	8812	-14424		
14102	62585	20110	37924	3584	8736	-14436		
14110	62606	20152	37916	3584	8736	-14436		
14112	62612	20131	37920	3452	8836	-14400		
14093	62628	20130	37915	3452	8836	-14400		
14126	62622	20129	37936	3504	8716	-14548		
14123	62639	20142	37922	3504	8716	-14548		
14118	62637	20147	37939	3480	8772	-14428		
14100	62641	20145	37929	3480	8772	-14428		
14106	62654	20133	37949	3480	8728	-14464		
14095	62645	20143	37934	3480	8728	-14464		
14047	62623	20132	37941	3532	8844	-14424		
14049	62612	20163	37921	3532	8844	-14424		
14050	62589	20138	37926	3600	8868	-14560		
14069	62586	20141	37927	3600	8868	-14560		
14043	62606	20147	37912	3524	8768	-14484		
14030	62587	20112	37930	3524	8768	-14484		
14011	62560	20093	37895	3528	8748	-14416		
14039	62584	20110	37916	3528	8748	-14416		
14031	62576	20087	37898	3412	8752	-14584		
14028	62574	20119	37894	3412	8752	-14584		
14030	62584	20094	37893	3504	8780	-14556		
14010	62546	20105	37895	3504	8780	-14556		
14037	62547	20104	37901	3508	8728	-14556		
14027	62553	20097	37882	3508	8728	-14556		
14011	62549	20090	37883	3520	8700	-14496		
14006	62541	20071	37896	3520	8700	-14496		
14014	62534	20084	37885	3492	8776	-14552		
13999	62536	20095	37872	3492	8776	-14552		
14026	62525	20091	37871	3496	8824	-14312		
14002	62509	20077	37879	3496	8824	-14312		
13988	62517	20076	37885	3396	8836	-14464		
14003	62535	20077	37873	3396	8836	-14464		
14011	62503	20099	37881	3432	8840	-14476		
14010	62528	20077	37881	3432	8840	-14476		
14001	62536	20072	37882	3584	8812	-14520		
14019	62533	20080	37877	3584	8812	-14520		
13993	62542	20069	37886	3364	8752	-14456		
13994	62542	20080	37907	3364	8752	-14456		
14029	62534	20066	37886	3452	8792	-14348		
14030	62556	20091	37888	3452	8792	-14348		
14015	62558	20097	37884	3500	8796	-14548		
13999	62557	20070	37901	3500	8796	-14548		
14030	62571	20080	37904	3564	8800	-14428		
14056	62570	20098	37890	3564	8800	-14428		
14059	62582	20102	37914	3456	8716	-14508		
14026	62590	20067	37907	3456	8716	-14508		
14041	62603	20067	37894	3560	8800	-14428		
14026	62587	20093	37908	3560	8800	-14428		
14017	62596	20111	37915	3504	8824	-14596		
14015	62560	20097	37900	3504	8824	-14596		
14019	62574	20089	37901	3480	8848	-14500		
13982	62531	20083	37889	3480	8848	-14500		
13982	62518	20094	37875	3456	8836	-14388		
13988	62518	20063	37871	3456	8836	-14388		
13962	62506	20063	37866	3380	8744	-14536		
13977	62479	20065	37851	3380	8744	-14536		
13973	62504	20088	37859	3484	8784	-14384		
