IR	Green	Red	Blue	ACCx	ACCy	ACCz	HR_bpm	HRV
31138	36699	60946	20340	0	0	0		
31702	36720	61231	20347	0	0	0		
31931	36765	61414	20361	0	0	0		
32064	36773	61477	20382	0	0	0		
31769	36777	61409	20382	0	0	0		
31457	36774	61248	20391	0	0	0		
31316	36748	61170	20392	0	0	0		
31144	36763	61140	20383	0	0	0		
30767	36777	60996	20367	0	0	0		
30373	36743	60847	20386	0	0	0		
29945	36740	60713	20392	0	0	0		
29535	36716	60562	20352	0	0	0		
29232	36690	60456	20349	0	0	0		
28923	36659	60309	20344	0	0	0		
28571	36612	60152	20331	0	0	0		
28268	36576	59991	20317	0	0	0		
27988	36516	59807	20298	0	0	0		
27950	36478	59684	20277	0	0	0		
36815	35825	64463	19842	0	0	0		
36825	35851	64429	19837	0	0	0		
36809	35829	64430	19843	-2068	15612	1240		
36826	35854	64427	19843	-2068	15612	1240		
36816	35861	64434	19855	-1592	16416	972		
36815	35873	64431	19857	-1592	16416	972		
36803	35884	64443	19856	-1592	16040	808		
36812	35900	64419	19861	-1592	16040	808		
36806	35916	64395	19856	-1420	15604	1080		
36797	35910	64411	19866	-1420	15604	1080		
36775	35939	64389	19855	-1608	16928	672		
36764	35925	64386	19879	-1608	16928	672		
36775	35943	64393	19869	-1700	16124	584		
36780	35937	64400	19890	-1700	16124	584		
36819	35953	64398	19880	-2296	16012	-1228		
36790	35963	64370	19887	-2296	16012	-1228		
36760	35989	64381	19914	-2228	15928	-1340		
36761	35990	64382	19901	-2228	15928	-1340		
36760	35996	64377	19908	-2336	15996	-1376		
36786	35995	64374	19901	-2336	15996	-1376		
36825	36011	64394	19905	-2268	15980	-1384		
36727	36030	64361	19905	-2268	15980	-1384		
36590	36026	64314	19928	-2340	15996	-1208		
36417	36018	64254	19917	-2340	15996	-1208		
36326	36004	64215	19917	-2304	15896	-1392		
36281	36001	64224	19906	-2304	15896	-1392		
36248	35985	64232	19903	-2224	15872	-1260		
36267	35938	64216	19888	-2224	15872	-1260		
36211	35958	64232	19888	-2248	16028	-1272		
36183	35958	64203	19894	-2248	16028	-1272		
36140	35930	64174	19887	-2276	16016	-1308		
36131	35953	64191	19896	-2276	16016	-1308		
36133	35927	64181	19872	-2168	15852	-1364		
36113	35945	64183	19898	-2168	15852	-1364		
36153	35946	64230	19891	-2264	15960	-1348		
36194	35956	64259	19902	-2264	15960	-1348		
36232	35970	64233	19881	-2164	15964	-1248		
36221	35972	64273	19925	-2164	15964	-1248		
36298	35982	64281	19893	-2180	15984	-1196		
36286	36002	64297	19916	-2180	15984	-1196		
36292	35985	64311	19909	-2196	16024	-1224		
36297	36023	64328	19901	-2196	16024	-1224		
36347	36032	64339	19915	-2320	15840	-1352		
36358	36051	64336	19923	-2320	15840	-1352		
36362	36043	64336	19928	-2364	15972	-1296		
36359	36052	64341	19928	-2364	15972	-1296		
36375	36068	64356	19943	-2216	15920	-1240		
36335	36074	64357	19937	-2216	15920	-1240		
36365	36078	64352	19929	-2196	15916	-1156		
36367	36079	64369	19947	-2196	15916	-1156		
36383	36108	64393	19933	-2240	15940	-1364		
36369	36127	64378	19960	-2240	15940	-1364		
36295	36125	64368	19948	-2164	15960	-1280		
36282	36148	64349	19949	-2164	15960	-1280		
36268	36150	64326	19972	-2196	15996	-1220		
36248	36160	64344	19966	-2196	15996	-1220		
36256	36177	64352	19984	-2304	16004	-1240		
36225	36177	64370	19963	-2304	16004	-1240		
36210	36193	64330	19968	-2196	15976	-1224		
36191	36199	64337	19978	-2196	15976	-1224		
36191	36206	64326	19973	-2308	15936	-1296		
36182	36214	64330	19984	-2308	15936	-1296		
36164	36218	64328	19988	-2248	16008	-1364		
36116	36195	64315	19997	-2248	16008	-1364		
36154	36240	64320	19995	-2256	15912	-1376		
36196	36232	64339	20006	-2256	15912	-1376		
36187	36242	64310	19997	-2236	15912	-1356		
36079	36237	64272	20005	-2236	15912	-1356		
35932	36221	64233	20006	-2264	15916	-1208		
35834	36213	64185	19993	-2264	15916	-1208		
35703	36208	64165	19997	-2268	15916	-1292		
35662	36191	64127	19979	-2268	15916	-1292		
35625	36176	64104	19983	-2204	16024	-1224		
35630	36161	64116	19958	-2204	16024	-1224		
35641	36134	64103	19961	-2244	15984	-1416		
35639	36131	64105	19952	-2244	15984	-1416		
35630	36136	64093	19963	-2284	15924	-1280		
35666	36129	64083	19947	-2284	15924	-1280		
