metric,label,mode,auc,youden_threshold,youden_thr_lo,youden_thr_hi,youden_index,sensitivity,specificity,ppv,npv,f1
pi,Perfusion Index,lo_bound,0.7751,0.015,,,0.7189,0.7189,1.0,1.0,0.3511,0.8365
skewness_ir,Skewness (IR),abs_hi_bound,0.8766,1.8839,,,0.8166,0.9378,0.8788,0.9807,0.6824,0.9588
kurtosis_ir,Kurtosis (IR),two_sided,0.4366,6.9298,-1.7231,6.9298,0.6394,0.8364,0.803,0.9654,0.4274,0.8963
snr_ir,SNR (IR) [dB],lo_bound,0.6862,-11.3194,,,0.372,0.7811,0.5909,0.9262,0.291,0.8475
entropy_ir,Spectral Entropy (IR),hi_bound,0.4719,3.0375,,,0.1078,0.3502,0.7576,0.9048,0.1506,0.505
rel_power_ir,Relative Power (IR),lo_bound,0.4624,0.3843,,,0.0417,0.2235,0.8182,0.8899,0.1381,0.3573
acc_energy_std,Acceleration Std-dev,hi_bound,0.6472,87.3555,,,0.313,0.8433,0.4697,0.9127,0.3131,0.8766
composite_sqi,Composite SQI,lo_bound,0.8997,0.45,,,0.8831,0.9286,0.9545,0.9926,0.6702,0.9595
