IR	Green	Red	Blue	ACCx	ACCy	ACCz	HR_bpm	HRV
4418	39666	36658	21055	3316	8648	-14780		
4336	39670	36616	21068	3316	8648	-14780		
4316	39679	36568	21065	3320	8612	-14496		
4215	39706	36547	21082	3320	8612	-14496		
4066	39707	36457	21085	3640	9628	-14412		
3854	39702	36393	21087	3640	9628	-14412		
3642	39707	36272	21095	3656	10352	-14196		
3483	39722	36171	21087	3656	10352	-14196		
3601	39717	36205	21076	3700	10884	-13220		
4182	39709	36373	21099	3700	10884	-13220		
4705	39696	36531	21086	4036	10676	-12604		
4843	39722	36594	21075	4036	10676	-12604		
4582	39703	36485	21087	4796	10396	-11784		
3887	39701	36262	21084	4796	10396	-11784		
3067	39691	35984	21078	4872	10508	-11784		
2492	39687	35789	21071	4872	10508	-11784		
2091	39692	35634	21083	4684	11620	-11840		
1872	39634	35597	21042	4684	11620	-11840		
1488	39627	35523	21036	4464	12344	-9100		
944	39586	35385	21015	4464	12344	-9100		
445	39535	35190	20995	5700	12992	-7900		
50	39507	35055	20968	5700	12992	-7900		
65347	39449	34979	20946	6136	13020	-6920		
65144	39383	34934	20924	6136	13020	-6920		
64997	39342	34912	20904	6380	12672	-6324		
64917	39296	34862	20872	6380	12672	-6324		
64867	39232	34822	20858	6956	12424	-5368		
64917	39211	34739	20836	6956	12424	-5368		
65032	39197	34592	20824	6980	12776	-5088		
65095	39168	34368	20807	6980	12776	-5088		
65108	39148	34119	20815	7288	13160	-4492		
65013	39120	33915	20800	7288	13160	-4492		
64961	39128	33855	20807	7540	13412	-4516		
64835	39093	33979	20817	7540	13412	-4516		
64588	39073	34262	20797	7360	13656	-4528		
64366	39077	34579	20780	7360	13656	-4528		
64119	39044	34861	20781	7260	13964	-4704		
63885	39023	35080	20761	7260	13964	-4704		
63654	38975	35208	20752	7192	13580	-4644		
63440	38944	35341	20736	7192	13580	-4644		
63192	38896	35405	20730	7684	13736	-4712		
62896	38877	35389	20733	7684	13736	-4712		
62638	38842	35362	20721	8108	13956	-4912		
62394	38835	35354	20716	8108	13956	-4912		
62197	38807	35345	20737	8084	14012	-5240		
62040	38824	35320	20720	8084	14012	-5240		
61888	38829	35315	20712	8332	14764	-4668		
61747	38829	35264	20731	8332	14764	-4668		
61712	38851	35264	20734	8040	14732	-4880		
61752	38863	35277	20774	8040	14732	-4880		
